title,rate,casts,cover,detailLink,types,time,movieTime,summary
四渡赤水,8.9,"['古月', '苏林', '傅学诚', '唐国强', '赵恒多']",http://pic2.iqiyipic.com/image/20211123/a8/5f/v_112853632_m_601_m2.webp,http://www.iqiyi.com/v_19rr7qdnw4.html,领袖人物;历史革命,1983-1-1,152.11,　遵义会议以后，确定了毛泽东（古月 饰）在红军中的领导地位。1935年1月，正是南方一年中最湿冷的季节，长途跋涉的红军来到赤水河边。前后有敌人的夹击，毛泽东与周恩来（苏林 饰）、刘伯承（傅学成 饰）认真分析敌情，作出一渡赤水入滇。蒋介石（赵恒多 饰）得知派王道之（金安歌 饰）率四十万大军围堵扎西地区，而我红军借敌黔北兵力空虚二渡赤水，巧夺渡口，红军趁敌不备，率精兵奇袭娄山关，挥师遵义，解放了周边广大地区。蒋介石闻听即愤怒又懊恼，他严惩执法不力的军官，再次布重兵追剿红军，准备把红军消灭在乌江岸边，毛泽东审时度势，令红军三渡赤水然后迅速再渡赤水，将敌人远远甩在了身后
误杀2,8.8,"['肖央', '任达华', '文咏珊', '陈雨锶', '宋洋', '李治廷', '张世', '尹子维']",http://pic7.iqiyipic.com/image/20220128/02/7e/v_162204124_m_601_m4.webp,http://www.iqiyi.com/v_13pwkzhy5n0.html,犯罪;悬疑;家庭,2021-12-17,118.66,林日朗与妻子阿玲、儿子小虫一直过着清贫但幸福的生活，直到儿子小虫突发意外急需救治，几经周折，走投无路的林日朗为了救儿子决定放手一搏。他制定了一个惊天计划.....
失控玩家,9.4,"['瑞安·雷诺兹', '朱迪·科默', '里尔·莱尔·哈瓦瑞', '塔伊加·维迪提']",http://pic8.iqiyipic.com/image/20230118/d6/e5/v_161582330_m_601_m9.webp,http://www.iqiyi.com/v_15iqbuevaek.html,动作;科幻;喜剧,2021-8-27,109.4,银行出纳员盖发现自己其实是开放世界电子游戏中的背景角色，于是决定成为英雄，并改写自己的故事。现在，在一个没有限制的世界里，他决心以自己的方式拯救他的世界，以免为时过晚。
奇门遁术2,6.7,"['书亚信', '朱茉颜', '徐少强', '祝愿', '陈佑俊', '陈国良', '刘萨萨']",http://pic9.iqiyipic.com/image/20230103/8f/30/v_170788320_m_601_m2.webp,http://www.iqiyi.com/v_ttz0a26opw.html,动作;奇幻;爱情,2023-1-4,85.51,天朝年间，东瀛使臣蛊惑天子，意图释放封印千年的魔神蚩尤为祸人间。奇门派为护封印惨遭围剿，浪迹市井的长老东郭先生巧遇天赋异禀的柳子墨，设计收他为徒。随着东瀛邪徒的追捕逐渐收紧，柳子墨一行人几经抵抗，东郭先生牺牲自己护柳子墨安全离开，并将开启封印的瞳臂托付于他。被迫扛起重担的柳子墨踏上修行之旅，同时也陷入一段虐恋之中。东瀛妖姬元蕙子借机释放蚩尤，天地变色、风起云涌，一场殊死之战蓄势待发。
突击,7.9,"['徐佳', '吴京安', '王新军']",http://pic3.iqiyipic.com/image/20230121/36/0b/v_170930031_m_601_m4.webp,http://www.iqiyi.com/v_24vhmd3udbo.html,枪战;动作;战争,2023-1-18,79.33,一日，一伙恐怖分子秘密进入我国境内意图不明。公安、国安、武警、解放军迅速决定联合作战，多方侦察下确定恐怖分子隐藏山村。特战分队抵达山村，准备引导无人机对恐怖分子隐匿建筑进行精确打击。就在无人机准备投弹时，狙击手发现恐怖分子的队伍中有数名未成年人。所有指战员怀揣着人道主义精神和中国军人的使命感一致决定修改行动方案，特战分队以雷霆万钧之势向敌发起攻击，干净利索地解决掉恐怖分子。
绝望主夫,8.8,"['常远', '辣目洋子', '魏翔']",http://pic9.iqiyipic.com/image/20230125/58/7c/v_170989112_m_601_m4.webp,http://www.iqiyi.com/v_1exwk0tbbpc.html,喜剧;家庭,2022-12-31,90.83,因一场电梯意外，钢铁直男胡铁男意外进入一个“错位”世界，昔日成功学大师胡铁男变身“全职家庭主夫”，老酒友聚会变成下午茶比美大会，层出不穷的反差让胡铁男着实无法忍受。面对颠倒错乱的世界，胡铁男在“鸡飞狗跳”的生活中体验了真正的“换位”，终于从对妻子的忽视逐渐变成感同身受，终于明白了妻子的默默付出与不易，明白了“爱”的真义……
不要脱轨,6.0,"['朱英洵', '垚鑫玉', '琪琪', '康康', '熙熙']",http://pic4.iqiyipic.com/image/20210915/b4/59/v_119301956_m_601_m8.webp,http://www.iqiyi.com/v_19rr4qh2a4.html,爱情;家庭,2018-10-12,90.27,心诺和闫若冰是对年轻的夫妻，生活原本幸福而平静，直到遇到心诺的大学同学薇薇后，打破了这种协调，无休止的争吵后两人各自不同程度的脱轨……
新神榜：杨戬,9.3,"['王凯（配音）', '季冠霖', '李立宏', '李兰陵']",http://pic5.iqiyipic.com/image/20221101/25/68/v_168440634_m_601_m10.webp,http://www.iqiyi.com/v_1qzx9b00hs4.html,动画;动作;奇幻,2022-8-19,127.41,商周之战一千五百年后，天界衰落，蒙冤落魄的杨戬以赏银捕手为业谋生。一日，杨戬接受了一位神秘访客的赏银去追捕一位少年，意外发现少年竟是自己的亲外甥沉香。沉香立志要寻回宝莲灯，劈山救母，却将酿成大祸。杨戬踏上追寻沉香并揭开尘封往事的旅程……
抬头见喜,8.9,"['王鹤棣', '潘斌龙', '龚蓓苾', '黄小蕾', '王迅', '陈哈琳', '蒋易', '何昕霖']",http://pic5.iqiyipic.com/image/20230119/ff/07/v_170990154_m_601_m2.webp,http://www.iqiyi.com/v_27nybrv2h18.html,喜剧;家庭,2023-1-22,138.1,影片聚焦于中年危机、家庭责任、老人关爱、子女教育 等热门话题，运用喜剧的视听手法，分别讲述了外孙利用元宇宙科技让爷爷与已故外婆再次相逢;企业职员中年下岗不向命运低头励志创业;大宝闺女反对二宝寄养 与长辈斗智斗勇“赢”回弟弟;幼稚富二代在乡村接受命运改造，结交真情找到人生价值，这四个开心、励志、温暖、积极向上的精彩故事，用最真挚的情感演绎每一个篇章。
斗士,9.0,"['李炳渊', '姚星彤', '李炳雷', '王洪祥', '秦雪']",http://pic8.iqiyipic.com/image/20230125/3b/db/v_170614134_m_601_m16.webp,http://www.iqiyi.com/v_10l80m8x0so.html,动作,2022-12-23,97.75,一个女人的自我救赎，一个斗士的复仇之旅，一场精心策划的阴谋，一场生死之间的终极较量…
